date,open,close,high,low
2016-03-21,5.652,5.723,5.736,5.574
2016-03-22,5.679,6.096,6.255,5.632
2016-03-23,6.093,6.706,6.706,6.049
2016-03-24,6.774,7.034,7.167,6.643
2016-03-25,6.914,6.562,7.084,6.44
2016-03-28,6.518,6.364,6.622,6.325
2016-03-29,6.419,6.565,6.583,6.268
2016-03-30,6.643,7.222,7.222,6.57
2016-03-31,7.303,7.039,7.397,6.956
2016-04-01,6.951,7.128,7.269,6.946
2016-04-05,7.039,7.561,7.811,6.987
2016-04-06,7.418,7.584,7.704,7.35
2016-04-07,7.626,7.274,7.626,7.274
2016-04-08,7.222,7.037,7.222,6.761
2016-04-11,6.98,7.102,7.245,6.98
2016-04-12,7.006,6.701,7.006,6.565
2016-04-13,6.747,6.766,6.933,6.688
2016-04-14,6.875,7.039,7.086,6.768
2016-04-15,7.008,7.037,7.092,6.93
2016-04-18,6.935,6.844,6.938,6.805
2016-04-19,6.922,6.745,6.948,6.651
2016-04-20,6.729,6.349,6.826,6.153
2016-04-21,6.296,6.179,6.39,6.179
2016-04-22,6.278,6.646,6.719,6.231
2016-04-25,6.549,6.549,6.638,6.315
2016-04-26,6.594,6.646,6.753,6.544
2016-04-27,6.711,6.487,6.734,6.466
2016-04-28,6.487,6.531,6.57,6.343
2016-04-29,6.521,6.609,7.127,6.515
2016-05-03,6.531,6.866,7.043,6.27
2016-05-04,6.792,6.949,7.027,6.688
2016-05-05,6.871,7.644,7.644,6.792
2016-05-06,7.733,7.858,8.407,7.607
2016-05-09,7.717,7.075,7.78,7.075
2016-05-10,6.892,6.855,7.075,6.751
2016-05-11,6.949,7.163,7.513,6.792
2016-05-12,6.85,6.771,6.886,6.448
2016-05-13,6.766,6.589,6.933,6.479
2016-05-16,6.557,6.704,6.766,6.369
2016-05-17,6.651,6.866,6.866,6.557
2016-05-18,6.756,6.432,6.756,6.259
2016-05-19,6.359,6.421,6.609,6.348
2016-05-20,6.312,6.348,6.395,6.176
2016-05-23,6.374,6.484,6.583,6.364
2016-05-24,6.479,6.333,6.552,6.286
2016-05-25,6.4,6.239,6.442,6.192
2016-05-26,6.165,6.165,6.233,5.894
2016-05-27,6.171,6.228,6.301,6.139
2016-05-30,6.192,6.066,6.202,6.009
2016-05-31,6.113,6.338,6.348,6.108
2016-06-01,6.348,6.526,6.609,6.327
2016-06-02,6.505,6.834,6.98,6.432
2016-06-03,6.845,7.059,7.106,6.792
2016-06-06,7.043,6.892,7.043,6.803
2016-06-07,6.839,6.886,6.975,6.813
2016-06-08,6.881,6.714,6.907,6.693
2016-06-13,6.542,6.15,6.557,6.118
2016-06-14,6.144,6.16,6.249,6.009
2016-06-15,6.082,6.359,6.421,6.009
2016-06-16,6.364,6.239,6.411,6.223
2016-06-17,6.27,6.291,6.416,6.228
2016-06-20,6.286,6.364,6.4,6.118
2016-06-21,6.374,6.427,6.526,6.338
2016-06-22,6.312,6.437,6.453,6.28
2016-06-23,6.421,6.306,6.421,6.27
2016-06-24,6.312,6.197,6.374,5.821
2016-06-27,6.113,6.27,6.312,6.019
2016-06-28,6.223,6.333,6.343,6.176
2016-06-29,6.333,6.4,6.531,6.333
2016-06-30,6.374,6.338,6.406,6.239
2016-07-01,6.327,6.306,6.416,6.275
2016-07-04,6.244,6.374,6.39,6.218
2016-07-05,6.374,6.38,6.395,6.317
2016-07-06,6.369,6.756,6.792,6.317
2016-07-07,6.677,6.609,6.73,6.51
2016-07-08,6.589,6.495,6.589,6.463
2016-07-11,6.458,6.474,6.542,6.39
2016-07-12,6.448,6.944,6.949,6.427
2016-07-13,7.054,6.787,7.122,6.745
2016-07-14,6.751,6.782,6.96,6.704
2016-07-15,6.808,6.845,6.954,6.709
2016-07-18,6.834,6.724,6.86,6.672
2016-07-19,6.704,6.688,6.719,6.552
2016-07-20,6.667,6.688,6.813,6.662
2016-07-21,6.677,6.662,6.745,6.636
2016-07-22,6.662,6.589,6.662,6.557
2016-07-25,6.536,6.536,6.625,6.521
2016-07-26,6.542,6.657,6.662,6.542
2016-07-27,6.688,6.202,6.688,6.113
2016-07-28,6.228,6.265,6.374,6.139
2016-07-29,6.218,6.202,6.296,6.192
2016-08-01,6.165,5.967,6.171,5.894
2016-08-02,5.962,5.998,6.024,5.935
2016-08-03,6.003,6.024,6.071,5.962
2016-08-04,6.014,6.071,6.087,5.998
2016-08-05,6.045,6.035,6.097,6.03
2016-08-08,5.998,6.077,6.077,5.894
2016-08-09,6.05,6.113,6.165,6.035
2016-08-10,6.134,6.066,6.16,6.066
2016-08-11,6.035,5.951,6.092,5.946
2016-08-12,5.935,6.003,6.019,5.935
2016-08-15,6.019,6.118,6.139,5.972
2016-08-16,6.129,6.165,6.186,6.124
2016-08-17,6.165,6.134,6.181,6.071
2016-08-18,6.139,6.118,6.197,6.097
2016-08-19,6.124,6.139,6.165,6.103
2016-08-22,6.16,6.103,6.254,6.097
2016-08-23,6.04,6.071,6.103,6.03
2016-08-24,6.071,6.15,6.165,6.04
2016-08-25,6.129,6.019,6.129,5.956
2016-08-26,6.03,6.071,6.092,6.019
2016-08-29,6.071,6.071,6.124,6.061
2016-08-30,6.066,6.092,6.108,6.045
2016-08-31,6.103,6.056,6.103,6.009
2016-09-01,6.019,6.03,6.071,6.019
2016-09-02,6.009,5.956,6.035,5.941
2016-09-05,5.967,5.972,6.03,5.956
2016-09-06,5.962,6.009,6.014,5.878
2016-09-07,6.003,6.05,6.129,5.993
2016-09-08,6.04,6.097,6.113,6.024
2016-09-09,6.103,6.019,6.113,5.998
2016-09-12,5.92,5.899,6.03,5.857
2016-09-13,5.925,5.93,5.977,5.878
2016-09-14,5.915,5.857,5.93,5.836
2016-09-19,5.826,5.894,5.92,5.826
2016-09-20,5.894,5.862,5.92,5.847
2016-09-21,5.878,5.888,5.899,5.847
2016-09-22,5.909,5.915,5.93,5.878
2016-09-23,5.941,6.061,6.176,5.878
2016-09-26,6.014,5.899,6.082,5.831
2016-09-27,5.878,5.909,5.915,5.852
2016-09-28,5.904,5.868,5.93,5.852
2016-09-29,5.878,5.873,5.899,5.857
2016-09-30,5.873,5.878,5.899,5.857
2016-10-10,5.888,5.972,5.998,5.888
2016-10-11,5.983,5.998,6.035,5.956
2016-10-12,5.998,5.993,5.998,5.941
2016-10-13,5.988,6.218,6.223,5.956
2016-10-14,6.207,6.171,6.322,6.097
2016-10-17,6.16,6.009,6.197,6.003
2016-10-18,6.019,6.082,6.092,5.993
2016-10-19,6.071,6.192,6.239,6.071
2016-10-20,6.192,6.27,6.348,6.113
2016-10-21,6.223,6.27,6.385,6.165
2016-10-24,6.306,6.254,6.385,6.228
2016-10-25,6.239,6.244,6.259,6.181
2016-10-26,6.239,6.233,6.312,6.186
2016-10-27,6.228,6.139,6.228,6.113
2016-10-28,6.144,6.207,6.317,6.108
2016-10-31,6.165,6.322,6.568,6.139
2016-11-01,6.359,6.427,6.458,6.286
2016-11-02,6.374,6.437,6.583,6.364
2016-11-03,6.39,6.374,6.474,6.301
2016-11-04,6.38,6.442,6.468,6.322
2016-11-07,6.427,6.385,6.453,6.374
2016-11-08,6.385,6.385,6.479,6.353
2016-11-09,6.39,6.547,6.709,6.374
2016-11-10,6.547,6.594,6.667,6.526
2016-11-11,6.583,6.562,6.609,6.489
2016-11-14,6.62,6.594,6.714,6.495
2016-11-15,6.583,6.667,6.709,6.583
2016-11-16,6.662,6.531,6.662,6.51
2016-11-17,6.531,6.526,6.594,6.489
2016-11-18,6.505,6.51,6.552,6.432
2016-11-21,6.489,6.526,6.536,6.453
2016-11-22,6.531,6.599,6.625,6.489
2016-11-23,6.604,6.453,6.625,6.432
2016-11-24,6.468,6.453,6.505,6.28
2016-11-25,6.395,6.421,6.453,6.275
2016-11-28,6.495,6.5,6.562,6.427
2016-11-29,6.5,6.51,6.662,6.458
2016-11-30,6.458,6.766,7.033,6.421
2016-12-01,6.724,6.745,6.803,6.657
2016-12-02,6.745,6.416,6.756,6.395
2016-12-05,6.286,6.5,6.557,6.286
2016-12-06,6.505,6.662,6.818,6.505
2016-12-07,6.667,6.636,6.766,6.536
2016-12-08,6.683,6.902,7.001,6.646
2016-12-09,6.834,6.792,6.939,6.745
2016-12-12,6.745,6.353,6.818,6.291
2016-12-13,6.327,6.448,6.463,6.259
2016-12-14,6.411,6.118,6.427,6.05
2016-12-15,6.019,6.061,6.176,5.946
2016-12-16,6.061,6.118,6.186,5.962
2016-12-19,6.087,6.218,6.228,6.087
2016-12-20,6.192,6.228,6.265,6.124
2016-12-21,6.202,6.254,6.359,6.202
2016-12-22,6.265,6.139,6.265,6.113
2016-12-23,6.134,5.956,6.139,5.915
2016-12-26,5.868,5.977,5.988,5.862
2016-12-27,6.03,6.139,6.249,5.956
2016-12-28,6.113,6.134,6.192,6.071
2016-12-29,6.087,6.003,6.087,5.977
2016-12-30,5.972,5.977,6.024,5.941
2017-01-03,6.003,6.118,6.139,5.972
2017-01-04,6.097,6.15,6.181,6.04
2017-01-05,6.134,6.155,6.254,6.113
2017-01-06,6.124,6.024,6.192,5.993
2017-01-09,6.061,6.192,6.202,6.03
2017-01-10,6.192,6.16,6.244,6.108
2017-01-11,6.118,6.129,6.254,6.118
2017-01-12,6.155,6.05,6.165,6.05
2017-01-13,6.045,5.946,6.092,5.946
2017-01-16,5.93,5.554,5.977,5.35
2017-01-17,5.591,5.632,5.653,5.423
2017-01-18,5.617,5.612,5.721,5.57
2017-01-19,5.57,5.544,5.653,5.538
2017-01-20,5.512,5.627,5.648,5.491
2017-01-23,5.627,5.664,5.7,5.606
2017-01-24,5.664,5.601,5.679,5.596
2017-01-25,5.632,5.648,5.695,5.585
2017-01-26,5.638,5.685,5.69,5.617
2017-02-03,5.7,5.659,5.716,5.601
2017-02-06,5.643,5.747,5.747,5.612
2017-02-07,5.747,5.721,5.779,5.69
2017-02-08,5.742,5.737,5.747,5.659
2017-02-09,5.737,5.747,5.8,5.737
2017-02-10,5.768,5.758,5.794,5.726
2017-02-13,5.768,5.857,5.92,5.726
2017-02-14,5.925,5.826,5.925,5.81
2017-02-15,5.805,5.747,5.878,5.737
2017-02-16,5.7,5.753,5.774,5.674
2017-02-17,5.747,5.664,5.747,5.648
2017-02-20,5.669,5.847,5.92,5.653
2017-02-21,5.81,5.831,5.888,5.789
2017-02-22,5.826,5.852,5.873,5.81
2017-02-23,5.862,5.826,5.868,5.805
2017-02-24,5.81,5.836,5.841,5.784
2017-02-27,5.831,5.763,5.841,5.763
2017-02-28,5.711,5.768,5.784,5.711
2017-03-01,5.747,5.8,5.841,5.742
